SaleID,OrderDate,DeliveryDate,ProductCategory,Region,SalesAmount,UnitsSold,IsHoliday,PaymentMethod,Total sales,DeliveryDays,Year,Month,MonthName,dayName
1,2024-10-16,2024-10-19,Clothing,Bengaluru,141958,26,No,Credit Card,3690908,3,2024,10,October,Wednesday
2,2023-04-25,2023-05-04,Clothing,Delhi,166867,32,No,Credit Card,5339744,9,2023,4,April,Tuesday
3,2023-01-26,2023-01-28,Clothing,Bengaluru,151932,6,Yes,Credit Card,911592,2,2023,1,January,Thursday
4,2025-01-29,2025-02-03,Electronics,Hyderabad,123694,32,No,Credit Card,3958208,5,2025,1,January,Wednesday
5,2023-10-09,2023-10-18,Furniture,Mumbai,139879,4,No,UPI,559516,9,2023,10,October,Monday
6,2023-09-08,2023-09-18,Clothing,Delhi,130268,11,No,Credit Card,1432948,10,2023,9,September,Friday
7,2023-08-17,2023-08-21,Clothing,Pune,74886,17,No,UPI,1273062,4,2023,8,August,Thursday
8,2023-05-23,2023-05-26,Grocery,Pune,157337,38,No,UPI,5978806,3,2023,5,May,Tuesday
9,2025-01-24,2025-01-30,Clothing,Kolkata,188266,24,No,Credit Card,4518384,6,2025,1,January,Friday
10,2023-04-15,2023-04-18,Grocery,Chennai,107498,5,No,Credit Card,537490,3,2023,4,April,Saturday
11,2024-11-23,2024-12-02,Furniture,Hyderabad,132727,34,No,Debit Card,4512718,9,2024,11,November,Saturday
12,2025-01-28,2025-02-06,Electronics,Delhi,146324,6,No,Cash,877944,9,2025,1,January,Tuesday
13,2024-07-12,2024-07-13,Electronics,Pune,195203,22,No,Credit Card,4294466,1,2024,7,July,Friday
14,2023-03-31,2023-04-10,Furniture,Chennai,36023,11,No,Debit Card,396253,10,2023,3,March,Friday
15,2024-08-27,2024-09-02,Electronics,Pune,61090,48,No,Debit Card,2932320,6,2024,8,August,Tuesday
16,2024-03-08,2024-03-16,Furniture,Delhi,87221,16,No,Cash,1395536,8,2024,3,March,Friday
17,2023-02-02,2023-02-03,Furniture,Bengaluru,84820,33,No,UPI,2799060,1,2023,2,February,Thursday
